"","title","price","floor_area","location","agency","image_url"
"247","Neubauprojekt im 7. Bezirk - Über den Linden",240000,116,"1070","STRABAG Real Estate GmbH","https://cache.willhaben.at/mmo/8/367/169/918_-1798439228_hoved.jpg"
"248","46m² Wohnung nahe U-6 Burggasse ! BITTE KEINE MAKLER!",450000,46,"1070","","https://cache.willhaben.at/mmo/4/378/699/114_-1115300348_hoved.jpg"
"249","traumhafte Dachgeschoss-Wohnung in bester Lage",1499000,67,"1070","IMMOSCHMIEDE GmbH","https://cache.willhaben.at/mmo/6/322/365/876_-1843271335_hoved.jpg"
"250","RIESEN WOHNUNG ZUM KAUFEN IN SPITZEN LAGE - NAHE MARIAHILFER STR. UND BURGGASSE STADTHALLE U6",260000,296,"1070","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/1/380/516/001_-963514307_hoved.jpg"
"251","Neubau-Garconniere mit Loggia und Parkplatz",8e+05,45,"1070","Gebrüder Riha GmbH","https://cache.willhaben.at/mmo/6/380/077/986_2052909560_hoved.jpg"
"252","Neubauprojekt im 7. Bezirk - Über den Linden",539000,90,"1070","STRABAG Real Estate GmbH","https://cache.willhaben.at/mmo/1/247/114/291_192935029_hoved.jpg"
"253","TRAUMHAFTE 2-ZIMMERWOHNUNG MIT TERRASSE IN TOPLAGE",240000,72,"1070","Mister Immo GmbH","https://cache.willhaben.at/mmo/8/379/926/698_1514531931_hoved.jpg"
"254","**** 2 ZIMMER Wfl. 46 m² WOHNUHG ****",1070000,46,"1070","gb-direkt Finanzberatung & Immobilienhandel GmbH","https://cache.willhaben.at/mmo/1/379/878/611_-1948978269_hoved.jpg"
"255","LICHTDURCHFLUTETES HOFSEITIGES LOFT mit BALKON - KANDLHOF - ERSTBEZÜGE - 1070 Wien",198000,113,"1070","Wohnkonzept Immobilien GmbH","https://cache.willhaben.at/mmo/1/379/853/971_-1492322636_hoved.jpg"
"256","Neubau sanierungsbedürftig mit LOGGIA in Bestlage nähe U6 Lugner City",259000,43,"1070","Opernreal Immobilienvermittlung GmbH","https://cache.willhaben.at/mmo/9/379/779/089_-310845315_hoved.jpg"
"257","7K9 - Unbefristet. Vermietet.",249000,78,"1070","A.P.P. Immobilienentwicklungs GmbH","https://cache.willhaben.at/mmo/4/373/082/014_-783160101_hoved.jpg"
"258","7K9 - Unbefristet. Vermietet.",1253000,78,"1070","A.P.P. Immobilienentwicklungs GmbH","https://cache.willhaben.at/mmo/9/373/081/809_-783160101_hoved.jpg"
"259","7K9 - Besonders. Einzigartig.",879000,166,"1070","A.P.P. Immobilienentwicklungs GmbH","https://cache.willhaben.at/mmo/5/373/081/585_-1153904185_hoved.jpg"
"260","7K9 - Besonders. Herausragend.",374000,115,"1070","A.P.P. Immobilienentwicklungs GmbH","https://cache.willhaben.at/mmo/3/373/081/413_-1153904185_hoved.jpg"
"261","7K9 - Besonders. Smart.",689000,50,"1070","A.P.P. Immobilienentwicklungs GmbH","https://cache.willhaben.at/mmo/2/373/081/202_203417218_hoved.jpg"
"262","7K9 - Besonders. Schön.",780000,98,"1070","A.P.P. Immobilienentwicklungs GmbH","https://cache.willhaben.at/mmo/6/373/080/856_1588517252_hoved.jpg"
"263","Kompakte Anlegerwohnungen in Hietzing: Cocon13",450000,54,"1130","auritas finanzmanagement gmbh","https://cache.willhaben.at/mmo/5/376/016/815_759097684_hoved.jpg"
"264","Helle & Ruhige 3-Zimmer-Dachgeschoßwohnung mit Grünblick I 1130 Wien I Eigentumswohnung",719000,96,"1130","viason immobilien kg","https://cache.willhaben.at/mmo/3/373/900/483_-637539592_hoved.jpg"
"265","""IM GRÜNEN WOHNEN, wie ICH will! KLITSCHGASSE 7""",910000,133,"1130","KIBB Immobilien GmbH","https://cache.willhaben.at/mmo/3/380/553/733_-1754930013_hoved.jpg"
"266","Ruhige Gartenwohnung in Hietzinger Cottage",1680000,121,"1130","PRIME PROPERTIES GmbH","https://cache.willhaben.at/mmo/9/312/800/499_-983241059_hoved.jpg"
